Policies:,ngps - production methane capture,Unnamed: 2,Unnamed: 3,Unit: g CO2e,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Lower Bound,Upper Bound,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
-1150,-1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1100,-1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1050,-1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1000,-950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-950,-900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-900,-850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-850,-800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-800,-750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-750,-700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-700,-650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-650,-600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-600,-550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-550,-500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-500,-450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-450,-400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-400,-350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-350,-300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-300,-250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-250,-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-200,-150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-150,-100,0.0,0.0,0.0,0.0,0.0,0.0,23505119085.31181,47010238170.62362,70515357255.93544,94020476341.24724,117525595426.55905,120396522283.5536,123267449140.54819,126138375997.54274,129009302854.5373,131880229711.53185,135728927612.3041,139577625513.07635,143426323413.8486,147275021314.62088,151123719215.39313,155460323810.57742,159796928405.76172,164133533000.946,168470137596.1303,172806742191.31458,177670191287.9943,182533640384.674,187397089481.35373,192260538578.03345,197123987674.71313,201782886028.2897,206441784381.86624,211100682735.44278,215759581089.01932,220418479442.5959
-100,-90,106807376146.31651,106891006231.30797,106974636316.29944,107058266401.29091,107141896486.28238,107225526571.27383,85780421257.01907,64335315942.764305,42890210628.50954,21445105314.25477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-90,-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-80,-70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-70,-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-60,-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-50,-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-40,-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-30,-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20,-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94543626581.31851,189087253162.63702,283630879743.9555,378174506325.27405,472718132906.5926
-10,0,1559093844955.7864,1552537721556.1445,1545981598156.5032,1539425474756.8618,1532869351357.2202,1526313227957.5786,1619131455899.4473,1711949683841.3157,1804767911783.1843,1897586139725.0527,1990404367666.9214,2071462263555.7288,2152520159444.5364,2233578055333.3433,2314635951222.1504,2395693847110.958,2496271547279.783,2596849247448.609,2697426947617.4346,2798004647786.26,2898582347955.0854,3013189359887.9653,3127796371820.8447,3242403383753.724,3357010395686.6035,3471617407619.4834,3723216438728.38,3974815469837.2773,4226414500946.174,4478013532055.07,4729612563163.968,4913069849205.663,5096527135247.358,5279984421289.053,5463441707330.748,5646898993372.443
0,0,38597022127.36003,65058066481.72411,91519110836.0882,117980155190.45227,144441199544.81635,170902243899.18042,179906239289.78955,188910234680.39868,197914230071.0078,206918225461.6169,215922220852.22604,230659521912.22446,245396822972.22287,260134124032.22134,274871425092.2198,289608726152.2182,334261258706.4497,378913791260.6813,423566323814.91284,468218856369.14435,512871388923.3758,617861405070.8701,722851421218.3644,827841437365.8586,932831453513.3529,1037821469660.8472,957871561458.3333,877921653255.8191,797971745053.305,718021836850.7911,638071928648.2771,554227770324.7955,470383612001.31396,386539453677.8324,302695295354.35077,218851137030.8692
0.1,10,1123198642737.6956,1182833728625.4373,1242468814513.1785,1302103900400.92,1361738986288.6611,1421374072176.4028,1513071720861.595,1604769369546.7874,1696467018231.9795,1788164666917.1719,1879862315602.3643,1971926113000.1355,2063989910397.9082,2156053707795.6797,2248117505193.452,2340181302591.2236,2432847551244.7734,2525513799898.3223,2618180048551.8716,2710846297205.421,2803512545858.9697,2851833585035.9814,2900154624212.9937,2948475663390.006,2996796702567.0176,3045117741744.03,3177522936996.068,3309928132248.1064,3442333327500.1445,3574738522752.1826,3707143718004.221,3793324528204.0396,3879505338403.8564,3965686148603.674,4051866958803.4917,4138047769003.3105
10,20,240971652212.61035,259042108209.454,277112564206.2976,295183020203.14124,313253476199.98486,331323932196.8285,304023938730.5918,276723945264.35504,249423951798.1183,222123958331.88153,194823964865.6448,201787503912.11316,208751042958.58142,215714582005.04977,222678121051.51804,229641660097.9864,235454567073.1457,241267474048.30502,247080381023.46436,252893287998.62363,258706194973.78296,268685822915.5179,278665450857.2529,288645078798.988,298624706740.723,308604334682.45795,320024313825.6473,331444292968.8365,342864272112.02576,354284251255.21497,365704230398.4043,444384384230.01117,523064538061.6181,601744691893.2251,680424845724.8322,759104999556.439
20,30,150953275826.17758,159658129467.6871,168362983109.19662,177067836750.70618,185772690392.21573,194477544033.72528,190302930585.28333,186128317136.84134,181953703688.3994,177779090239.9575,173604476791.51553,179047979068.9424,184491481346.36926,189934983623.79614,195378485901.22296,200821988178.64984,207904005516.55322,214986022854.45657,222068040192.36,229150057530.26334,236232074868.1667,244437879909.06253,252643684949.95834,260849489990.85413,269055295031.7499,277261100072.6457,286371951102.51105,295482802132.3764,304593653162.24176,313704504192.1071,322815355221.9725,333326915689.3936,343838476156.81476,354350036624.2359,364861597091.6571,375373157559.07825
30,40,29604038672.98741,23691879965.48137,17779721257.97533,11867562550.469292,5955403842.963253,43245135.457216,63240818.6793152,83236501.90141441,103232185.12351361,123227868.3456128,143223551.567712,140181005.29216,137138459.016608,134095912.741056,131053366.465504,128010820.189952,168312953.5522176,208615086.91448322,248917220.27674887,289219353.6390145,329521487.00128007,311311193.85822403,293100900.71516806,274890607.572112,256680314.42905605,238470021.286,287373975.384944,336277929.48388803,385181883.5828321,434085837.68177605,482989791.78072006,443501109.0245121,404012426.26830405,364523743.5120961,325035060.75588804,285546377.9996801
